Specific absorption coefficients [m2 mg-1] of eight phytoplankton types from the supplemental data of [1] and [2].

    Group N	a_phy	bb_phy
    C_0	Diatoms (6 spectra from Lomas et al 2024; coastal species: Thalassiosira nordenskioeldi, Thalassiosira guilardi, Rhizoselenia setigera, Chaetoceros diadem, Chaetoceros socialis)	Diatoms -> cp Brown group Bi et al 2023
    C_1	Green (Bi et al 2023)	Green Bi et al 2023
    C_2	Cryptophytes (2 spectra from Lomas et al 2024; Rhodomonas salina)	cp from Cryptophyte Bi et al 2023
    C_3	Synecochoccus bacillaris (2 spectra Lomas et al 2024) -> Cyano blue	cp from Cyano_blue Bi et al 2023
    C_4	Synecochoccus  sp (2 spectra Lomas et al 2024) -> Cyano red	cp from Cyano_red Bi et al 2023
    C_5	Coccolithophore (6 spectra Lomas et al 2024; Emiliania huxleyi)	cp from Coccolithophore Bi et al 2023
    C_6	Dinoflagellates (5 spectra from Lomas et al 2024; coastal species: Prorocentrum minimum, Karenia brevis, Prorocentrum lima)	Dinoflagellate -> cp Brown group Bi et al 2023
    C_7	case_1 (2 spectra Lomas et al 2024; Prochlorococcus marinus)	cp from Case-1 Bi et al 2023
    
    [1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]
    [2] Lomas et al (2024): Phytoplankton optical fingerprint libraries for development of phytoplankton
    ocean color satellite products. Sci Data 11, 168 (2024). https://doi.org/10.1038/s41597-024-03001-z
    
wavelength_nm,Diatoms,Green,Cryptophytes,Cyano_blue,Cyano_red,Coccolithophore,Dinoflagellates,Case-1
428.0,0.039221519999083,0.028573434,0.0340018365138003,0.0363595597559356,0.0480758654962741,0.0508696502900379,0.0306032793744737,0.0477610669425923
430.0,0.0400194126698302,0.0288068,0.0346391641686191,0.0369951654399423,0.0488370766266571,0.0521282062752566,0.0311113426901541,0.0486032563700784
432.0,0.0408217216408415,0.029003428,0.0352527839458096,0.0378525244512749,0.0497534015096427,0.053378683881903,0.0316025348475952,0.0496164424767455
434.0,0.0415457689169956,0.029136389,0.0357947107431746,0.0387172789109016,0.0507270602944496,0.0546192792578531,0.0320104025936845,0.050882504967438
436.0,0.0420405342881214,0.029162883,0.0361455077740755,0.0392923337459447,0.0512303024296257,0.0556006121572832,0.0322997844269343,0.0524945790058672
438.0,0.0421548949801578,0.029057194,0.0362028929056773,0.0395677137936882,0.0515234841649784,0.056232894999239,0.032453127988805,0.0542132785021675
440.0,0.0418990196120712,0.02881069,0.0359684729285116,0.0393125192797053,0.0511360275759455,0.056440544629771,0.032416648120724,0.0559748672002844
442.0,0.0412538736243301,0.02841981,0.0353761954850256,0.0385016933435252,0.0500027273830685,0.0562234081894566,0.032179407039975,0.0574842623807795
444.0,0.0403284431873253,0.027904294,0.0344807964085908,0.0369617484451027,0.0481342806838935,0.0557835011450481,0.0318143941302935,0.0582536226737668
446.0,0.0392241818799318,0.027290984,0.0333673945925325,0.0348447744125429,0.0456745157601835,0.0551989614427076,0.0313953551812628,0.058199964567457
448.0,0.0381663429860685,0.026623042,0.0322003110106421,0.0323724542524694,0.0428751173668136,0.0546738156358197,0.0310079979572512,0.0570822606230677
450.0,0.037285368014928,0.025959959,0.0311323206822382,0.0298734876987377,0.0402145644276442,0.0543842573691819,0.0307447266630814,0.055254999256497
